Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-,Unnamed: 24_level_1
101,101,11/3/25,N,Western Illinois,OVC,Radford,A,"L, 80-75",118.3,123.4,62.1,120.7,52.5,17.7,46.9,33.9,128.8,58.8,11.3,43.3,60.8,38.1,-5,
102,102,11/3/25,N,Minnesota,B10,Gardner Webb,H,"W, 87-60",118.2,88.7,72,120.8,60.9,19.4,37.5,54.5,83.3,38.6,19.4,25,47.4,96.5,24,
103,103,11/4/25,N,Duke,ACC,Texas,N,"W, 75-60",118.1,85.4,66.6,112.6,51,15,32.4,57.7,90.1,36.4,24,40.9,39,97.6,4,
104,104,11/3/25,N,Seton Hall,BE,Saint Peter's,H,"W, 77-50",118.1,93.2,60.3,127.7,52.2,13.3,39.3,80,83,33.3,24.9,38.5,43.1,93.8,11,
105,105,11/7/25,N,Southeast Missouri S,OVC,Missouri,A,"L, 89-84",118,100.8,77.3,108.6,53.2,20.7,38.2,33.3,115.1,64.8,24.6,31,57.4,86,-2,
106,106,11/4/25,N,Texas Tech,B12,Lindenwood,H,"W, 98-60",117.9,88.8,76.6,127.9,50.6,9.1,41.8,28,78.3,35.2,18.3,23.4,42.6,96.3,14,
107,107,11/7/25,N,Utah St.,MWC,VCU,N,"W, 80-77",117.8,92.6,76.3,104.8,53.4,23.6,38.9,44.8,100.9,50.8,24.9,37.8,46.7,94.1,8,
108,108,11/7/25,N,Buffalo,MAC,Green Bay,H,"W, 83-76",117.7,125.7,64.2,129.2,59.6,10.9,28.1,87.2,118.3,62.8,17.1,15.4,44.7,31.9,3,
109,109,11/3/25,N,Oklahoma,SEC,Saint Francis,H,"W, 102-66",117.7,107.9,74.2,137.6,63.6,14.8,40,25.7,89,44.7,18.9,30,15.2,73.1,6,
110,110,11/3/25,N,South Alabama,SB,Toledo,A,"W, 76-74",117.7,109,63.7,119.3,61.2,15.7,35.5,22.4,116.1,60.9,17.3,19.4,16.4,70.9,9,
111,111,11/8/25,N,Providence,BE,Virginia Tech,N,"L, 107-101",117.6,111.6,79.3,113.3,52,15.7,28.6,32.9,120,58.2,12.3,27.9,27.8,64.6,-,
112,112,11/5/25,N,Creighton,BE,South Dakota,H,"W, 92-76",117.6,107.8,72.9,126.1,55.4,17.8,54.3,14.9,104.2,45.3,17.8,45.7,18.9,73.2,11,
113,113,11/8/25,N,South Florida,Amer,George Washington,N,"L, 99-95",117.4,107.2,85,111.7,47.2,14.1,36.4,51.4,116.4,62.7,24.7,34.4,74.5,74.2,-1,
114,114,11/3/25,N,Buffalo,MAC,Southern Miss,H,"W, 85-79",117.4,130.4,65.8,129.2,56.6,12.2,37.1,67.9,120.1,60,21.3,29.2,40,23.1,-3,
115,115,11/3/25,N,Missouri,SEC,Howard,A,"W, 88-67",117.3,98.7,71.8,122.6,63.9,22.3,47.1,34.4,93.3,45.2,18.1,24.4,25.8,88,13,
116,116,11/8/25,N,San Jose St.,MWC,UC Santa Barbara,A,"L, 85-74",117.2,128.1,62.5,118.4,57,22.4,44,42,136,68.3,17.6,41.7,36.5,26.5,-9,
